epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.7931,0.88064,2.75452,1.28783,0.00667,0.98765,0.30304,0.20234,0.62497,2.92611,1.03871,0.00018,0.00018,0.00018
2,80.6098,0.82762,2.26743,1.19133,0.00658,0.97531,0.22177,0.13367,0.69653,2.8931,1.04209,0.000376238,0.000376238,0.000376238
3,119.733,0.81441,1.9248,1.2111,0.63139,0.08473,0.27211,0.165,0.87159,2.82176,1.2439,0.000568516,0.000568516,0.000568516
4,159.565,0.90518,1.62708,1.265,0.46398,0.04316,0.21559,0.11092,1.07737,2.89925,1.38864,0.000756834,0.000756834,0.000756834
5,200.992,0.9958,1.64116,1.31867,0.40632,0.24691,0.27704,0.16717,1.51263,2.67533,1.67438,0.000941192,0.000941192,0.000941192
6,240.896,0.95048,1.5949,1.25119,0.33433,0.30387,0.28268,0.18505,1.5437,2.65298,1.74529,0.00112159,0.00112159,0.00112159
7,281.689,0.98399,1.59421,1.28108,0.37268,0.30864,0.27029,0.14334,1.42701,2.88036,1.78065,0.00129803,0.00129803,0.00129803
8,322.262,0.9864,1.55173,1.2893,0.43895,0.25926,0.27946,0.1741,1.314,2.58151,1.85599,0.00147051,0.00147051,0.00147051
9,362.922,0.95779,1.48244,1.28275,0.3114,0.32099,0.27261,0.16498,1.26247,2.47844,1.97617,0.00163902,0.00163902,0.00163902
10,401.789,0.91021,1.56142,1.27333,0.22105,0.28378,0.17207,0.09846,1.1997,3.23909,1.87623,0.00180358,0.00180358,0.00180358
11,440.809,0.99493,1.55796,1.34829,0.35417,0.32099,0.2454,0.1664,1.31902,3.60975,2.00219,0.001802,0.001802,0.001802
12,480.635,0.92984,1.45899,1.28843,0.32103,0.35802,0.22546,0.12682,1.32551,4.2368,1.9495,0.0017822,0.0017822,0.0017822
13,519.453,0.92594,1.47602,1.26967,0.27964,0.48148,0.25799,0.16202,1.19087,3.25458,1.66961,0.0017624,0.0017624,0.0017624
14,559.11,0.9429,1.47977,1.30046,0.38248,0.39506,0.34019,0.17459,1.28393,2.42884,1.7674,0.0017426,0.0017426,0.0017426
15,598.406,0.91212,1.35503,1.24599,0.33328,0.45679,0.27056,0.17657,1.17052,3.66002,1.72749,0.0017228,0.0017228,0.0017228
16,637.35,0.86112,1.34442,1.2431,0.33406,0.39506,0.27886,0.17401,1.19818,3.17703,1.76528,0.001703,0.001703,0.001703
17,678.688,0.92124,1.38986,1.27683,0.26964,0.45679,0.25384,0.16299,1.29703,3.07473,1.99858,0.0016832,0.0016832,0.0016832
18,717.46,0.89505,1.28821,1.23353,0.33088,0.4321,0.25996,0.16912,1.19188,3.73654,1.57989,0.0016634,0.0016634,0.0016634
19,757.425,0.94325,1.35303,1.29548,0.32221,0.48148,0.31043,0.20185,1.286,3.05702,1.86087,0.0016436,0.0016436,0.0016436
20,796.447,0.88366,1.27908,1.26109,0.34955,0.51852,0.30666,0.18982,1.19104,2.45862,1.69364,0.0016238,0.0016238,0.0016238
21,836.737,0.85055,1.17536,1.19638,0.36571,0.50617,0.30727,0.20505,1.16719,2.06704,1.54346,0.001604,0.001604,0.001604
22,875.844,0.9011,1.24697,1.25454,0.31299,0.37037,0.32126,0.20085,1.16344,2.09288,1.65548,0.0015842,0.0015842,0.0015842
23,915.226,0.91995,1.24554,1.25944,0.56395,0.37037,0.42329,0.25701,1.17014,1.9307,1.57745,0.0015644,0.0015644,0.0015644
24,955.242,0.8721,1.15542,1.23498,0.34273,0.39916,0.28084,0.19706,1.04995,3.30419,1.44962,0.0015446,0.0015446,0.0015446
25,995.26,0.85928,1.14091,1.18126,0.41649,0.4142,0.32009,0.22436,1.10318,2.70199,1.62148,0.0015248,0.0015248,0.0015248
26,1034.94,0.91219,1.24152,1.26961,0.36853,0.48148,0.31633,0.18354,1.12974,1.97602,1.51245,0.001505,0.001505,0.001505
27,1074.77,0.81341,1.03545,1.17473,0.28694,0.32099,0.21177,0.13366,1.30861,2.39628,1.60508,0.0014852,0.0014852,0.0014852
